Term,Status,Section,Location,Lecture Days,Lecture Time,Lecture Location,Seminar Days,Seminar Time,Seminar Location,Lab Days,Lab Time,Lab Location,Distance Education,Electronic,Independent Study,Exam Day,Exam Time,Exam Location,Faculty,Capacity,Credits,Academic Level
Fall 2022,Open,ACCT*1220*0101 (6573) Intro Financial Accounting,Guelph, Fri,08:30AM - 10:20AM,"ROZH, Room 104", Mon,04:30PM - 05:20PM,"MCKN, Room 225", , , ,FALSE,FALSE,FALSE, Tues,08:30AM - 10:30AM (2022/12/06),TBA,P. Lassou, 3 / 48,0.5,Undergraduate
Fall 2022,Open,ACCT*1220*0102 (6574) Intro Financial Accounting,Guelph, Fri,08:30AM - 10:20AM,"ROZH, Room 104", Tues,08:30AM - 09:20AM,"MCKN, Room 227", , , ,FALSE,FALSE,FALSE, Tues,08:30AM - 10:30AM (2022/12/06),TBA,P. Lassou, 1 / 48,0.5,Undergraduate
Fall 2022,Open,ACCT*1220*0103 (6575) Intro Financial Accounting,Guelph, Fri,08:30AM - 10:20AM,"ROZH, Room 104", Wed,04:30PM - 05:20PM,"MCKN, Room 228", , , ,FALSE,FALSE,FALSE, Tues,08:30AM - 10:30AM (2022/12/06),TBA,P. Lassou, 1 / 48,0.5,Undergraduate
Fall 2022,Closed,ACCT*1220*0104 (6576) Intro Financial Accounting,Guelph, Fri,08:30AM - 10:20AM,"ROZH, Room 104", Thur,12:30PM - 01:20PM,"MACS, Room 121", , , ,FALSE,FALSE,FALSE, Tues,08:30AM - 10:30AM (2022/12/06),TBA,P. Lassou, 0 / 48,0.5,Undergraduate
Fall 2022,Open,ACCT*1220*0105 (6577) Intro Financial Accounting,Guelph, Fri,08:30AM - 10:20AM,"ROZH, Room 104", Mon,11:30AM - 12:20PM,"MCKN, Room 226", , , ,FALSE,FALSE,FALSE, Tues,08:30AM - 10:30AM (2022/12/06),TBA,P. Lassou, 1 / 48,0.5,Undergraduate
Fall 2022,Closed,ACCT*1220*0106 (6578) Intro Financial Accounting,Guelph, Fri,08:30AM - 10:20AM,"ROZH, Room 104", Tues,02:30PM - 03:20PM,"MACS, Room 121", , , ,FALSE,FALSE,FALSE, Tues,08:30AM - 10:30AM (2022/12/06),TBA,P. Lassou, 0 / 48,0.5,Undergraduate
Fall 2022,Open,ACCT*1220*0107 (6579) Intro Financial Accounting,Guelph, Fri,08:30AM - 10:20AM,"ROZH, Room 104", Tues,09:30AM - 10:20AM,"AD-S, Room VIRTUAL", , , ,FALSE,FALSE,FALSE, Tues,08:30AM - 10:30AM (2022/12/06),TBA,P. Lassou, 1 / 70,0.5,Undergraduate
Fall 2022,Open,ACCT*1220*0108 (6580) Intro Financial Accounting,Guelph, Fri,08:30AM - 10:20AM,"ROZH, Room 104", Wed,01:30PM - 02:20PM,"AD-S, Room VIRTUAL", , , ,FALSE,FALSE,FALSE, Tues,08:30AM - 10:30AM (2022/12/06),TBA,P. Lassou, 2 / 70,0.5,Undergraduate
Fall 2022,Closed,ACCT*1220*0109 (6581) Intro Financial Accounting,Guelph, Fri,08:30AM - 10:20AM,"ROZH, Room 104", Mon,12:30PM - 01:20PM,"MCKN, Room 231", , , ,FALSE,FALSE,FALSE, Tues,08:30AM - 10:30AM (2022/12/06),TBA,P. Lassou, 0 / 48,0.5,Undergraduate
Fall 2022,Open,ACCT*1220*0110 (6582) Intro Financial Accounting,Guelph, Fri,08:30AM - 10:20AM,"ROZH, Room 104", Thur,11:30AM - 12:20PM,"MACS, Room 121", , , ,FALSE,FALSE,FALSE, Tues,08:30AM - 10:30AM (2022/12/06),TBA,P. Lassou, 1 / 48,0.5,Undergraduate
