Term,Status,Section,Location,Lecture Days,Lecture Time,Lecture Location,Seminar Days,Seminar Time,Seminar Location,Lab Days,Lab Time,Lab Location,Distance Education,Electronic,Independent Study,Exam Day,Exam Time,Exam Location,Faculty,Capacity,Credits,Academic Level
Winter 2023,Open,ACCT*1220*0101 (1065) Intro Financial Accounting,Guelph,Fri,08:30AM - 10:20AM,"ROZH, Room 104",Tues,10:30AM - 11:20AM,"MCKN, Room 230", , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ACCT*1220*0102 (1066) Intro Financial Accounting,Guelph,Fri,08:30AM - 10:20AM,"ROZH, Room 104",Mon,02:30PM - 03:20PM,"MCKN, Room 231", , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ACCT*1220*0103 (1067) Intro Financial Accounting,Guelph,Fri,08:30AM - 10:20AM,"ROZH, Room 104",Thur,11:30AM - 12:20PM,"MCKN, Room 232", , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ACCT*1220*0104 (1068) Intro Financial Accounting,Guelph,Fri,08:30AM - 10:20AM,"ROZH, Room 104",Tues,08:30AM - 09:20AM,"MCKN, Room 230", , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ACCT*1220*0105 (1069) Intro Financial Accounting,Guelph,Fri,08:30AM - 10:20AM,"ROZH, Room 104",Wed,12:30PM - 01:20PM,"MCKN, Room 228", , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ACCT*1220*0106 (1070) Intro Financial Accounting,Guelph,Fri,08:30AM - 10:20AM,"ROZH, Room 104",Wed,04:30PM - 05:20PM,"MCKN, Room 229", , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ACCT*1220*0107 (1071) Intro Financial Accounting,Guelph,Fri,08:30AM - 10:20AM,"ROZH, Room 104",Thur,02:30PM - 03:20PM,"MCKN, Room 229", , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ACCT*1220*0108 (1072) Intro Financial Accounting,Guelph,Fri,08:30AM - 10:20AM,"ROZH, Room 104",Mon,09:30AM - 10:20AM,"MCKN, Room 230", , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ACCT*1220*0109 (1073) Intro Financial Accounting,Guelph,Fri,08:30AM - 10:20AM,"ROZH, Room 104",Wed,09:30AM - 10:20AM,"AD-S, Room VIRTUAL", , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 70 / 70,0.5,Undergraduate
Winter 2023,Open,ACCT*1220*0110 (1074) Intro Financial Accounting,Guelph,Fri,08:30AM - 10:20AM,"ROZH, Room 104",Mon,01:30PM - 02:20PM,"AD-S, Room VIRTUAL", , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 70 / 70,0.5,Undergraduate
Winter 2023,Closed,ACCT*1220*0211 (1075) Intro Financial Accounting,Guelph,Mon,07:00PM - 08:50PM,"ROZH, Room 103",Fri,01:30PM - 02:20PM,"MCKN, Room 229", , , ,FALSE,FALSE,FALSE, , , ,TBA, 0 / 0,0.5,Undergraduate
Winter 2023,Closed,ACCT*1220*0212 (1076) Intro Financial Accounting,Guelph,Mon,07:00PM - 08:50PM,"ROZH, Room 103",Fri,08:30AM - 09:20AM,"MCKN, Room 230", , , ,FALSE,FALSE,FALSE, , , ,TBA, 0 / 0,0.5,Undergraduate
Winter 2023,Closed,ACCT*1220*0213 (1077) Intro Financial Accounting,Guelph,Mon,07:00PM - 08:50PM,"ROZH, Room 103",Tues,02:30PM - 03:20PM,"MCKN, Room 228", , , ,FALSE,FALSE,FALSE, , , ,TBA, 0 / 0,0.5,Undergraduate
Winter 2023,Closed,ACCT*1220*0214 (1078) Intro Financial Accounting,Guelph,Mon,07:00PM - 08:50PM,"ROZH, Room 103",Thur,10:30AM - 11:20AM,"MCKN, Room 229", , , ,FALSE,FALSE,FALSE, , , ,TBA, 0 / 0,0.5,Undergraduate
Winter 2023,Open,ACCT*1220*DE01 (1079) Intro Financial Accounting,Guelph, , , , , , , , , ,TRUE,FALSE,FALSE, , , ,S. Dhaliwal, 200 / 200,0.5,Undergraduate
Winter 2023,Open,ACCT*1240*01 (1080) Applied Financial Accounting,Guelph,"Mon, Wed",01:00PM - 02:20PM,"MAC, Room 149", , , , , , ,FALSE,FALSE,FALSE, , , ,C. Zavitz, 80 / 80,0.5,Undergraduate
Winter 2023,Open,ACCT*1240*02 (1081) Applied Financial Accounting,Guelph,"Mon, Wed",10:00AM - 11:20AM,"MAC, Room 149", , , , , , ,FALSE,FALSE,FALSE, , , ,C. Zavitz, 80 / 80,0.5,Undergraduate
Winter 2023,Open,ACCT*2230*01 (1082) Management Accounting,Guelph,Thur,07:00PM - 09:50PM,"ROZH, Room 103", , , , , , ,FALSE,FALSE,FALSE, , , ,P. Ghattas, 200 / 200,0.5,Undergraduate
Winter 2023,Open,ACCT*2230*DE01 (1083) Management Accounting,Guelph, , , , , , , , , ,TRUE,FALSE,FALSE, , , ,P. Ghattas, 200 / 200,0.5,Undergraduate
Winter 2023,Open,ACCT*3230*01 (1084) Intermediate Mgmt Accounting,Guelph,"Mon, Wed",08:30AM - 09:50AM,"MINS, Room 300", , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 60 / 60,0.5,Undergraduate
Winter 2023,Open,ACCT*3330*01 (1085) Intermed Financial Account I,Guelph,"Wed, Fri",02:30PM - 03:50PM,"MCLN, Room 107", , , , , , ,FALSE,FALSE,FALSE, , , ,S. Dhaliwal, 50 / 50,0.5,Undergraduate
Winter 2023,Open,ACCT*4220*01 (1086) Advanced Financial Accounting,Guelph,"Tues, Thur",01:00PM - 02:20PM,"MCKN, Room 230", , , , , , ,FALSE,FALSE,FALSE, , , ,R. Baker, 40 / 40,0.5,Undergraduate
Winter 2023,Open,ACCT*4230*01 (1087) Advanced Management Accounting,Guelph,"Mon, Wed",08:30AM - 09:50AM,"MCKN, Room 121", , , , , , ,FALSE,FALSE,FALSE, , , ,K. Jagoda, 50 / 50,0.5,Undergraduate
Winter 2023,Open,ACCT*4230*02 (1088) Advanced Management Accounting,Guelph,"Mon, Wed",11:30AM - 12:50PM,"MCKN, Room 029", , , , , , ,FALSE,FALSE,FALSE, , , ,K. Jagoda, 50 / 50,0.5,Undergraduate
Winter 2023,Open,ACCT*4290*01 (1089) IT Auditing & Data Analytics,Guelph,Tues,07:00PM - 09:50PM,"MAC, Room 149", , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 80 / 80,0.5,Undergraduate
Winter 2023,Open,ACCT*4340*01 (1090) Accounting Theory,Guelph,"Tues, Thur",10:00AM - 11:20AM,"MCKN, Room 227", , , , , , ,FALSE,FALSE,FALSE, , , ,R. Baker, 40 / 40,0.5,Undergraduate
Winter 2023,Open,ACCT*4440*01 (1091) Integrated Cases in Accounting,Guelph,"Mon, Wed",05:30PM - 06:50PM,"MAC, Room 149", , , , , , ,FALSE,FALSE,FALSE, , , ,P. Ghattas, 70 / 70,0.5,Undergraduate
Winter 2023,Open,AGR*1350*0101 (1092) Dairy/Poultry/Egg Prod. & Ind.,Guelph,"Mon, Wed, Fri",01:30PM - 02:20PM,"MACN, Room 105", , , ,Mon,08:30AM - 11:20AM,"MCKN, Room 308",FALSE,FALSE,FALSE, , , ,"M. Steele, G. Bedecarrats", 25 / 25,0.5,Undergraduate
Winter 2023,Open,AGR*1350*0102 (1093) Dairy/Poultry/Egg Prod. & Ind.,Guelph,"Mon, Wed, Fri",01:30PM - 02:20PM,"MACN, Room 105", , , ,Tues,08:30AM - 11:20AM,"MCKN, Room 313",FALSE,FALSE,FALSE, , , ,"M. Steele, G. Bedecarrats", 25 / 25,0.5,Undergraduate
Winter 2023,Open,AGR*1350*0103 (1094) Dairy/Poultry/Egg Prod. & Ind.,Guelph,"Mon, Wed, Fri",01:30PM - 02:20PM,"MACN, Room 105", , , ,Wed,08:30AM - 11:20AM,"MCKN, Room 307",FALSE,FALSE,FALSE, , , ,"M. Steele, G. Bedecarrats", 25 / 25,0.5,Undergraduate
Winter 2023,Open,AGR*1350*0104 (1095) Dairy/Poultry/Egg Prod. & Ind.,Guelph,"Mon, Wed, Fri",01:30PM - 02:20PM,"MACN, Room 105", , , ,Tues,02:30PM - 05:20PM,"MCKN, Room 309",FALSE,FALSE,FALSE, , , ,"M. Steele, G. Bedecarrats", 25 / 25,0.5,Undergraduate
Winter 2023,Open,AGR*1350*0105 (1096) Dairy/Poultry/Egg Prod. & Ind.,Guelph,"Mon, Wed, Fri",01:30PM - 02:20PM,"MACN, Room 105", , , ,Wed,02:30PM - 05:20PM,"MCKN, Room 313",FALSE,FALSE,FALSE, , , ,"M. Steele, G. Bedecarrats", 25 / 25,0.5,Undergraduate
